0,Ireland ,EIRL
1,Belgium ,EWK
2,Israel ,EIS
3,Japan ,JPP
4,Netherlands ,EWN
5,Austria ,EWO
6,New Zealand ,ENZL
7,France ,EWQ
8,Italy ,EWI
9,Switzerland ,EWL
10,United States ,EUSA
11,Sweden ,EWD
12,Germany ,EWG
13,Argentina ,ARGT
14,Portugal ,PGAL
15,Hong Kong ,EWH
16,South Korea ,EWY
17,United Kingdom ,EWU
18,Russia ,RBL
19,Australia ,EWA
20,Chile ,ECH
21,China ,GXC
22,Spain ,EWP
23,India ,PIN
24,Taiwan ,EWT
25,Mexico ,EWW
26,Malaysia ,EWM
27,Indonesia ,IDX
28,Thailand ,THD
29,Philippines ,EPHE
30,Norway ,NORW
31,Singapore ,EWS
32,Canada ,EWC
33,Vietnam ,VNM
34,Qatar ,QAT
35,United Arab Emirates ,UAE
36,Nigeria ,NGE
37,Poland ,PLND
38,Peru ,EPU
39,South Africa ,EZA
40,Turkey ,TUR
41,Colombia ,GXG
42,Egypt ,EGPT
43,Greece ,GREK
44,Brazil ,EWZ
