"em_regions","index","url"
"Chindia (FNI)","1","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Asia Pacific (GMF)","2","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Markets Small Caps (EWX)","3","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"ASEAN (ASEA)","4","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Frontier Countries (FM)","5","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Europe (GUR)","6","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Gulf States (MES)","7","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Brazil, Russia, India, China (BIK)","8","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Markets (ADRE)","9","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Beyond BRICs (BBRC)","10","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Andes (AND)","11","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Middle East & Africa (GAF)","12","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Latin America (GML)","13","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Latin America 40 (ILF)","14","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"em_countries","index","url"
"China A-Shares (CHNA)","15","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Argentina (ARGT)","16","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Hong Kong (EWH)","17","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"South Korea (EWY)","18","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Russia (RBL)","19","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Chile (ECH)","20","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China (GXC)","21","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"India (PIN)","22","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Taiwan (EWT)","23","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Mexico (EWW)","24","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Malaysia (EWM)","25","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Indonesia (IDX)","26","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Thailand (THD)","27","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Singapore (EWS)","28","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Vietnam (VNM)","29","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Qatar (QAT)","30","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"United Arab Emirates (UAE)","31","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Nigeria (NGE)","32","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Peru (EPU)","33","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"South Africa (EZA)","34","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Turkey (TUR)","35","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Colombia (GXG)","36","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Greece (GREK)","37","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Brazil (EWZ)","38","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"em_themes","index","url"
"China Infrastructure (CHXX)","39","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Internet (KWEB)","40","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Tech (CQQQ)","41","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Consumer (CHIQ)","42","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Infrastructure (KFYP)","43","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Materials (CHIM)","44","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"India Consumer (INCO)","45","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Industrials (CHII)","46","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Financials (CHIX)","47","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"EM Infrastructure (EMIF)","48","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"EM Consumer (ECON)","49","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"India Infrastructure (INXX)","50","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"China Energy (CHIE)","51","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Brazil Consumer (BRAQ)","52","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"em_dividends","index","url"
"High Income Low Beta (HILO)","53","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Markets Small Caps (DGS)","54","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Middle East (GULF)","55","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
"Emerging Markets (DEM)","56","http://seekingalpha.com/insight/etf-hub/asset_class_performance/emerging_markets"
